bit_acc,msg_acc,msg_similarity,baseline_bit_acc,baseline_msg_acc,baseline_msg_similarity,latency,noise,message
0.5625,0,0.0,0.6875,0,0.0,0.0463564395904541,0.0,23
0.5625,0,0.0,0.9375,0,0.5,0.0006785392761230469,0.0,14
0.5,0,0.0,0.8125,0,0.5,0.0005693435668945312,0.0,06
1.0,1,1.0,1.0,1,1.0,0.0004477500915527344,0.0,42
0.875,0,0.5,0.875,0,0.5,0.00043892860412597656,0.0,15
0.9375,0,0.5,1.0,1,1.0,0.0004363059997558594,0.0,23
0.9375,0,0.5,1.0,1,1.0,0.00044155120849609375,0.0,14
1.0,1,1.0,1.0,1,1.0,0.0004372596740722656,0.0,06
0.875,0,0.5,0.875,0,0.5,0.0004336833953857422,0.0,42
1.0,1,1.0,0.9375,0,0.5,0.00043201446533203125,0.0,15
0.9375,0,0.5,1.0,1,1.0,0.0004334449768066406,0.0,23
0.9375,0,0.5,0.9375,0,0.5,0.00042939186096191406,0.0,14
0.9375,0,0.5,0.9375,0,0.5,0.0004260540008544922,0.0,06
1.0,1,1.0,1.0,1,1.0,0.0004379749298095703,0.0,42
0.8125,0,0.5,0.8125,0,0.5,0.0004374980926513672,0.0,15
0.9375,0,0.5,1.0,1,1.0,0.0004322528839111328,0.0,23
0.5625,0,0.0,0.9375,0,0.5,0.00043582916259765625,0.0,14
1.0,1,1.0,1.0,1,1.0,0.0004391670227050781,0.0,06
1.0,1,1.0,1.0,1,1.0,0.00043082237243652344,0.0,42
0.9375,0,0.5,0.9375,0,0.5,0.0004355907440185547,0.0,15
0.875,0,0.5,0.875,0,0.5,0.0004315376281738281,0.0,23
0.875,0,0.5,0.875,0,0.5,0.0004291534423828125,0.0,14
0.75,0,0.0,0.75,0,0.0,0.0004317760467529297,0.0,06
0.625,0,0.0,0.8125,0,0.0,0.00043082237243652344,0.0,42
0.5,0,0.0,0.875,0,0.5,0.0004401206970214844,0.0,15
0.5,0,0.0,0.75,0,0.5,0.0004324913024902344,0.0,23
0.5625,0,0.0,0.9375,0,0.5,0.0004336833953857422,0.0,14
1.0,1,1.0,1.0,1,1.0,0.0004398822784423828,0.0,06
0.8125,0,0.5,0.8125,0,0.5,0.0006277561187744141,0.0,42
0.875,0,0.5,0.875,0,0.5,0.0005998611450195312,0.0,15
0.875,0,0.5,0.875,0,0.5,0.00046133995056152344,0.0,23
0.9375,0,0.5,1.0,1,1.0,0.00043773651123046875,0.0,14
0.875,0,0.5,0.875,0,0.5,0.0004329681396484375,0.0,06
0.9375,0,0.5,0.875,0,0.5,0.0004334449768066406,0.0,42
0.9375,0,0.5,0.9375,0,0.5,0.0004374980926513672,0.0,15
0.875,0,0.5,0.875,0,0.5,0.00043010711669921875,0.0,23
0.9375,0,0.5,0.9375,0,0.5,0.00043845176696777344,0.0,14
0.8125,0,0.5,0.875,0,0.5,0.00043010711669921875,0.0,06
1.0,1,1.0,1.0,1,1.0,0.0004336833953857422,0.0,42
0.6875,0,0.0,0.6875,0,0.0,0.00043487548828125,0.0,15
0.8125,0,0.5,0.875,0,0.5,0.0004324913024902344,0.0,23
0.9375,0,0.5,0.9375,0,0.5,0.0004322528839111328,0.0,14
0.875,0,0.5,0.875,0,0.5,0.0004382133483886719,0.0,06
0.9375,0,0.5,0.875,0,0.5,0.0004305839538574219,0.0,42
1.0,1,1.0,1.0,1,1.0,0.0004367828369140625,0.0,15
0.9375,0,0.5,1.0,1,1.0,0.0004367828369140625,0.0,23
0.9375,0,0.5,1.0,1,1.0,0.00043463706970214844,0.0,14
1.0,1,1.0,1.0,1,1.0,0.00042629241943359375,0.0,06
0.9375,0,0.5,0.9375,0,0.5,0.0004322528839111328,0.0,42
0.9375,0,0.5,0.9375,0,0.5,0.0004329681396484375,0.0,15
0.8125,0,0.0,0.8125,0,0.0,0.0004329681396484375,0.0,23
0.9375,0,0.5,1.0,1,1.0,0.0004279613494873047,0.0,14
1.0,1,1.0,1.0,1,1.0,0.0004391670227050781,0.0,06
0.875,0,0.0,0.875,0,0.0,0.0004343986511230469,0.0,42
0.9375,0,0.5,0.9375,0,0.5,0.0004305839538574219,0.0,15
0.9375,0,0.5,1.0,1,1.0,0.0004298686981201172,0.0,23
0.875,0,0.5,0.875,0,0.5,0.00042891502380371094,0.0,14
1.0,1,1.0,1.0,1,1.0,0.00043582916259765625,0.0,06
1.0,1,1.0,1.0,1,1.0,0.0005121231079101562,0.0,42
0.8125,0,0.5,0.8125,0,0.5,0.0005438327789306641,0.0,15
0.9375,0,0.5,1.0,1,1.0,0.0005369186401367188,0.0,23
0.9375,0,0.5,1.0,1,1.0,0.0004398822784423828,0.0,14
0.8125,0,0.5,0.875,0,0.5,0.0004401206970214844,0.0,06
1.0,1,1.0,1.0,1,1.0,0.0004279613494873047,0.0,42
0.75,0,0.0,0.75,0,0.0,0.0004334449768066406,0.0,15
0.875,0,0.5,0.875,0,0.5,0.0004379749298095703,0.0,23
0.9375,0,0.5,1.0,1,1.0,0.0004329681396484375,0.0,14
1.0,1,1.0,1.0,1,1.0,0.0004334449768066406,0.0,06
0.8125,0,0.0,0.9375,0,0.5,0.0004329681396484375,0.0,42
0.9375,0,0.5,0.9375,0,0.5,0.0004315376281738281,0.0,15
0.875,0,0.5,0.875,0,0.5,0.00043320655822753906,0.0,23
0.9375,0,0.5,1.0,1,1.0,0.00042748451232910156,0.0,14
0.9375,0,0.5,0.9375,0,0.5,0.0004317760467529297,0.0,06
1.0,1,1.0,1.0,1,1.0,0.00043201446533203125,0.0,42
1.0,1,1.0,1.0,1,1.0,0.00043487548828125,0.0,15
0.75,0,0.0,0.75,0,0.0,0.0004353523254394531,0.0,23
0.9375,0,0.5,0.9375,0,0.5,0.0004374980926513672,0.0,14
0.9375,0,0.5,0.9375,0,0.5,0.00043511390686035156,0.0,06
0.625,0,0.0,0.8125,0,0.0,0.0004315376281738281,0.0,42
1.0,1,1.0,1.0,1,1.0,0.0004258155822753906,0.0,15
0.9375,0,0.5,1.0,1,1.0,0.00043272972106933594,0.0,23
