,bit_acc,bit_acc,msg_acc,msg_acc,msg_similarity,msg_similarity,baseline_bit_acc,baseline_bit_acc,baseline_msg_acc,baseline_msg_acc,baseline_msg_similarity,baseline_msg_similarity,latency,latency,noise,noise
,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std
noise,,,,,,,,,,,,,,,,
0.0,0.8912,0.1224,0.276,0.4475,0.538,0.3432,0.9292,0.0774,0.438,0.4966,0.665,0.3309,0.0005,0.0021,0.0,0.0
0.05,0.8966,0.118,0.3,0.4587,0.555,0.346,0.9314,0.0787,0.458,0.4987,0.672,0.3371,0.0004,0.0,0.05,0.0
0.1,0.9008,0.1147,0.3,0.4587,0.565,0.3369,0.9341,0.0789,0.484,0.5002,0.69,0.3334,0.0004,0.0,0.1,0.0
0.15,0.767,0.1539,0.05,0.2182,0.25,0.2961,0.7598,0.1817,0.058,0.234,0.314,0.2959,0.0004,0.0,0.15,0.0
0.2,0.7605,0.1634,0.06,0.2377,0.26,0.3043,0.7462,0.1921,0.074,0.262,0.323,0.3072,0.0004,0.0,0.2,0.0
0.25,0.6922,0.1474,0.014,0.1176,0.13,0.235,0.6715,0.1692,0.014,0.1176,0.154,0.2458,0.0004,0.0,0.25,0.0
0.3,0.6931,0.1422,0.002,0.0447,0.106,0.207,0.6708,0.1729,0.006,0.0773,0.149,0.2354,0.0004,0.0,0.3,0.0
0.35,0.6901,0.1457,0.01,0.0996,0.119,0.2246,0.6735,0.1723,0.016,0.1256,0.152,0.247,0.0005,0.0001,0.35,0.0
0.4,0.6416,0.1302,0.0,0.0,0.067,0.1705,0.6195,0.1523,0.0,0.0,0.089,0.1914,0.0005,0.0,0.4,0.0
0.45,0.6422,0.1345,0.002,0.0447,0.064,0.1702,0.6209,0.157,0.0,0.0,0.078,0.1816,0.0005,0.0,0.45,0.0
0.5,0.604,0.1242,0.0,0.0,0.031,0.1207,0.585,0.1333,0.002,0.0447,0.032,0.1265,0.0004,0.0,0.5,0.0
0.55,0.5954,0.1273,0.002,0.0447,0.02,0.1031,0.5794,0.1397,0.002,0.0447,0.031,0.1248,0.0004,0.0,0.55,0.0
0.6,0.5986,0.1239,0.0,0.0,0.025,0.1091,0.5885,0.1349,0.0,0.0,0.032,0.1225,0.0005,0.0,0.6,0.0
0.65,0.5676,0.1126,0.0,0.0,0.014,0.0826,0.5612,0.1199,0.0,0.0,0.022,0.1027,0.0004,0.0,0.65,0.0
0.7,0.5644,0.1149,0.0,0.0,0.011,0.0734,0.5591,0.122,0.0,0.0,0.016,0.0881,0.0004,0.0,0.7,0.0
0.75,0.5515,0.1126,0.0,0.0,0.01,0.0701,0.5534,0.1155,0.0,0.0,0.012,0.0766,0.0004,0.0,0.75,0.0
0.8,0.5596,0.1089,0.0,0.0,0.009,0.0665,0.548,0.1089,0.0,0.0,0.009,0.0665,0.0004,0.0,0.8,0.0
0.85,0.5581,0.1091,0.0,0.0,0.009,0.0665,0.5514,0.1157,0.0,0.0,0.013,0.0796,0.0004,0.0,0.85,0.0
0.9,0.5426,0.0977,0.0,0.0,0.005,0.0498,0.5395,0.1051,0.0,0.0,0.008,0.0628,0.0004,0.0,0.9,0.0
0.95,0.5496,0.0955,0.0,0.0,0.001,0.0224,0.5456,0.1018,0.0,0.0,0.004,0.0446,0.0004,0.0001,0.95,0.0
1.0,0.5445,0.094,0.0,0.0,0.0,0.0,0.5485,0.1014,0.0,0.0,0.006,0.0545,0.0004,0.0,1.0,0.0
