bit_acc,msg_acc,msg_similarity,baseline_bit_acc,baseline_msg_acc,baseline_msg_similarity,latency,noise,message
0.875,0,0.5,0.75,0,0.0,0.04544496536254883,0.0,23
0.9375,0,0.5,0.8125,0,0.0,0.0006384849548339844,0.0,14
0.875,0,0.5,0.875,0,0.5,0.0004975795745849609,0.0,06
0.9375,0,0.5,0.9375,0,0.5,0.0004849433898925781,0.0,42
0.875,0,0.0,0.875,0,0.0,0.0004324913024902344,0.0,15
0.875,0,0.5,0.875,0,0.5,0.00043654441833496094,0.0,23
0.875,0,0.5,0.75,0,0.0,0.00044608116149902344,0.0,14
0.9375,0,0.5,0.9375,0,0.5,0.00045490264892578125,0.0,06
1.0,1,1.0,1.0,1,1.0,0.0004279613494873047,0.0,42
1.0,1,1.0,1.0,1,1.0,0.000431060791015625,0.0,15
1.0,1,1.0,0.875,0,0.5,0.00043010711669921875,0.0,23
0.9375,0,0.5,0.9375,0,0.5,0.0004444122314453125,0.0,14
0.9375,0,0.5,1.0,1,1.0,0.0005972385406494141,0.0,06
1.0,1,1.0,1.0,1,1.0,0.0006248950958251953,0.0,42
1.0,1,1.0,1.0,1,1.0,0.00045108795166015625,0.0,15
1.0,1,1.0,1.0,1,1.0,0.0004215240478515625,0.0,23
1.0,1,1.0,1.0,1,1.0,0.00042438507080078125,0.0,14
0.8125,0,0.5,0.8125,0,0.5,0.00047087669372558594,0.0,06
1.0,1,1.0,1.0,1,1.0,0.0004229545593261719,0.0,42
1.0,1,1.0,1.0,1,1.0,0.00042724609375,0.0,15
0.875,0,0.5,0.875,0,0.5,0.0004401206970214844,0.0,23
1.0,1,1.0,1.0,1,1.0,0.0004394054412841797,0.0,14
0.8125,0,0.5,0.8125,0,0.5,0.0004305839538574219,0.0,06
0.9375,0,0.5,0.9375,0,0.5,0.0004355907440185547,0.0,42
0.9375,0,0.5,0.9375,0,0.5,0.00042819976806640625,0.0,15
1.0,1,1.0,1.0,1,1.0,0.00043129920959472656,0.0,23
0.875,0,0.5,0.75,0,0.0,0.0004367828369140625,0.0,14
0.9375,0,0.5,0.75,0,0.0,0.0004258155822753906,0.0,06
0.9375,0,0.5,0.8125,0,0.0,0.00043272972106933594,0.0,42
0.9375,0,0.5,0.9375,0,0.5,0.00042510032653808594,0.0,15
1.0,1,1.0,1.0,1,1.0,0.0004277229309082031,0.0,23
1.0,1,1.0,1.0,1,1.0,0.0004291534423828125,0.0,14
0.9375,0,0.5,1.0,1,1.0,0.00042724609375,0.0,06
0.875,0,0.5,0.8125,0,0.0,0.0004260540008544922,0.0,42
1.0,1,1.0,1.0,1,1.0,0.00043201446533203125,0.0,15
1.0,1,1.0,1.0,1,1.0,0.0004980564117431641,0.0,23
1.0,1,1.0,0.875,0,0.5,0.00042724609375,0.0,14
0.875,0,0.0,0.8125,0,0.0,0.0004246234893798828,0.0,06
1.0,1,1.0,1.0,1,1.0,0.00042557716369628906,0.0,42
1.0,1,1.0,1.0,1,1.0,0.00042748451232910156,0.0,15
1.0,1,1.0,0.875,0,0.5,0.0004286766052246094,0.0,23
1.0,1,1.0,1.0,1,1.0,0.000431060791015625,0.0,14
0.9375,0,0.5,1.0,1,1.0,0.0005860328674316406,0.0,06
1.0,1,1.0,0.875,0,0.5,0.0006134510040283203,0.0,42
0.9375,0,0.5,0.9375,0,0.5,0.00045299530029296875,0.0,15
1.0,1,1.0,1.0,1,1.0,0.0004258155822753906,0.0,23
0.875,0,0.5,0.875,0,0.5,0.0004222393035888672,0.0,14
0.9375,0,0.5,0.9375,0,0.5,0.0004239082336425781,0.0,06
0.875,0,0.5,0.8125,0,0.5,0.0004267692565917969,0.0,42
0.875,0,0.0,0.875,0,0.0,0.0004284381866455078,0.0,15
1.0,1,1.0,1.0,1,1.0,0.00043463706970214844,0.0,23
1.0,1,1.0,1.0,1,1.0,0.0004279613494873047,0.0,14
0.9375,0,0.5,1.0,1,1.0,0.00042366981506347656,0.0,06
1.0,1,1.0,1.0,1,1.0,0.0004267692565917969,0.0,42
1.0,1,1.0,1.0,1,1.0,0.0004260540008544922,0.0,15
1.0,1,1.0,1.0,1,1.0,0.0004286766052246094,0.0,23
1.0,1,1.0,1.0,1,1.0,0.0004246234893798828,0.0,14
0.875,0,0.5,0.875,0,0.5,0.00043487548828125,0.0,06
1.0,1,1.0,1.0,1,1.0,0.0004315376281738281,0.0,42
0.9375,0,0.5,0.9375,0,0.5,0.0004253387451171875,0.0,15
1.0,1,1.0,0.875,0,0.5,0.0004265308380126953,0.0,23
0.875,0,0.5,0.875,0,0.5,0.00043201446533203125,0.0,14
0.875,0,0.5,0.875,0,0.5,0.00042748451232910156,0.0,06
0.9375,0,0.5,0.9375,0,0.5,0.0004322528839111328,0.0,42
0.9375,0,0.5,0.9375,0,0.5,0.0004284381866455078,0.0,15
1.0,1,1.0,1.0,1,1.0,0.00043320655822753906,0.0,23
1.0,1,1.0,1.0,1,1.0,0.00042700767517089844,0.0,14
0.875,0,0.5,0.875,0,0.5,0.0004324913024902344,0.0,06
1.0,1,1.0,1.0,1,1.0,0.00043082237243652344,0.0,42
1.0,1,1.0,0.8125,0,0.5,0.0004341602325439453,0.0,15
1.0,1,1.0,1.0,1,1.0,0.0004215240478515625,0.0,23
0.875,0,0.5,0.875,0,0.5,0.0004279613494873047,0.0,14
0.9375,0,0.5,0.9375,0,0.5,0.00043320655822753906,0.0,06
0.8125,0,0.0,0.6875,0,0.0,0.0004279613494873047,0.0,42
0.9375,0,0.5,0.9375,0,0.5,0.00043511390686035156,0.0,15
1.0,1,1.0,1.0,1,1.0,0.00044035911560058594,0.0,23
0.875,0,0.5,0.875,0,0.5,0.0006394386291503906,0.0,14
0.875,0,0.5,0.875,0,0.5,0.0005195140838623047,0.0,06
0.9375,0,0.5,0.8125,0,0.5,0.00042748451232910156,0.0,42
1.0,1,1.0,0.875,0,0.5,0.0004227161407470703,0.0,15
1.0,1,1.0,1.0,1,1.0,0.0005080699920654297,0.0,23
1.0,1,1.0,1.0,1,1.0,0.0004897117614746094,0.0,14
0.9375,0,0.5,1.0,1,1.0,0.00042939186096191406,0.0,06
0.9375,0,0.5,0.9375,0,0.5,0.0004258155822753906,0.0,42
0.9375,0,0.5,0.9375,0,0.5,0.0004305839538574219,0.0,15
0.875,0,0.5,0.875,0,0.5,0.0004246234893798828,0.0,23
1.0,1,1.0,1.0,1,1.0,0.0004324913024902344,0.0,14
0.9375,0,0.5,1.0,1,1.0,0.0004315376281738281,0.0,06
0.9375,0,0.5,0.8125,0,0.5,0.00043702125549316406,0.0,42
1.0,1,1.0,1.0,1,1.0,0.0004372596740722656,0.0,15
0.875,0,0.5,0.875,0,0.5,0.00043487548828125,0.0,23
0.9375,0,0.5,0.9375,0,0.5,0.00043654441833496094,0.0,14
0.9375,0,0.5,1.0,1,1.0,0.00044035911560058594,0.0,06
1.0,1,1.0,1.0,1,1.0,0.0004353523254394531,0.0,42
0.9375,0,0.5,0.9375,0,0.5,0.0004324913024902344,0.0,15
0.9375,0,0.5,0.9375,0,0.5,0.00043082237243652344,0.0,23
1.0,1,1.0,1.0,1,1.0,0.0004894733428955078,0.0,14
0.875,0,0.5,0.875,0,0.5,0.0004336833953857422,0.0,06
1.0,1,1.0,1.0,1,1.0,0.000423431396484375,0.0,42
0.875,0,0.5,0.75,0,0.5,0.0004258155822753906,0.0,15
1.0,1,1.0,1.0,1,1.0,0.00042319297790527344,0.0,23
0.875,0,0.5,0.875,0,0.5,0.00042629241943359375,0.0,14
