,bit_acc,bit_acc,msg_acc,msg_acc,msg_similarity,msg_similarity,baseline_bit_acc,baseline_bit_acc,baseline_msg_acc,baseline_msg_acc,baseline_msg_similarity,baseline_msg_similarity,latency,latency,noise,noise
,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std
noise,,,,,,,,,,,,,,,,
0.0,0.9539,0.0543,0.5,0.5005,0.721,0.3014,0.9271,0.0838,0.47,0.4996,0.669,0.3495,0.0005,0.002,0.0,0.0
0.05,0.957,0.0514,0.502,0.5005,0.729,0.2902,0.9265,0.0821,0.448,0.4978,0.667,0.3359,0.0004,0.0,0.05,0.0
0.1,0.9566,0.0499,0.486,0.5003,0.719,0.2928,0.9302,0.0761,0.444,0.4974,0.664,0.3366,0.0004,0.0,0.1,0.0
0.15,0.9275,0.0647,0.306,0.4613,0.591,0.3153,0.7644,0.1868,0.064,0.245,0.327,0.2979,0.0004,0.0,0.15,0.0
0.2,0.93,0.0677,0.334,0.4721,0.592,0.3358,0.7516,0.2,0.072,0.2587,0.325,0.3051,0.0004,0.0,0.2,0.0
0.25,0.9044,0.0725,0.196,0.3974,0.48,0.3284,0.67,0.1796,0.014,0.1176,0.179,0.2541,0.0004,0.0,0.25,0.0
0.3,0.8971,0.0734,0.174,0.3795,0.441,0.3365,0.6838,0.1694,0.014,0.1176,0.172,0.2521,0.0004,0.0,0.3,0.0
0.35,0.9026,0.0703,0.174,0.3795,0.457,0.3269,0.6705,0.1759,0.018,0.1331,0.158,0.2513,0.0004,0.0,0.35,0.0
0.4,0.8721,0.0717,0.078,0.2684,0.326,0.3097,0.609,0.1527,0.004,0.0632,0.081,0.1898,0.0004,0.0,0.4,0.0
0.45,0.877,0.0727,0.092,0.2893,0.345,0.3157,0.6142,0.1502,0.006,0.0773,0.078,0.1897,0.0004,0.0,0.45,0.0
0.5,0.851,0.0722,0.04,0.1962,0.247,0.2875,0.5804,0.1333,0.0,0.0,0.039,0.1342,0.0004,0.0,0.5,0.0
0.55,0.8475,0.0756,0.048,0.214,0.234,0.294,0.5959,0.1364,0.0,0.0,0.041,0.1373,0.0004,0.0,0.55,0.0
0.6,0.8524,0.0712,0.042,0.2008,0.245,0.2892,0.5843,0.1352,0.0,0.0,0.04,0.1358,0.0004,0.0,0.6,0.0
0.65,0.8291,0.0722,0.026,0.1593,0.158,0.2592,0.561,0.1212,0.0,0.0,0.021,0.1004,0.0004,0.0,0.65,0.0
0.7,0.8259,0.0741,0.022,0.1468,0.154,0.2538,0.5605,0.1198,0.0,0.0,0.018,0.0932,0.0004,0.0,0.7,0.0
0.75,0.8208,0.074,0.024,0.1532,0.142,0.2509,0.5589,0.1122,0.0,0.0,0.012,0.0766,0.0004,0.0,0.75,0.0
0.8,0.8146,0.0727,0.004,0.0632,0.128,0.223,0.5525,0.1127,0.0,0.0,0.013,0.0796,0.0004,0.0,0.8,0.0
0.85,0.8226,0.0712,0.014,0.1176,0.13,0.235,0.5529,0.1088,0.0,0.0,0.009,0.0665,0.0004,0.0,0.85,0.0
0.9,0.8062,0.0664,0.002,0.0447,0.087,0.1924,0.5426,0.1036,0.0,0.0,0.006,0.0545,0.0004,0.0,0.9,0.0
0.95,0.8006,0.0735,0.004,0.0632,0.082,0.1907,0.541,0.1105,0.0,0.0,0.012,0.0766,0.0004,0.0001,0.95,0.0
1.0,0.8028,0.0677,0.004,0.0632,0.078,0.187,0.5392,0.1021,0.0,0.0,0.003,0.0387,0.0004,0.0,1.0,0.0
