bit_acc,msg_acc,msg_similarity,baseline_bit_acc,baseline_msg_acc,baseline_msg_similarity,hmm_bit_acc,hmm_msg_acc,hmm_msg_similarity,fb_bit_acc,fb_msg_acc,fb_msg_similarity,med_bit_acc,med_msg_acc,med_msg_similarity,latency,noise,message
1.0,1,1.0,1.0,1,1.0,1.0,1,1.0,1.0,1,1.0,0.5625,0,0.0,0.04721236228942871,0.0,01
1.0,1,1.0,1.0,1,1.0,1.0,1,1.0,1.0,1,1.0,0.3125,0,0.0,0.0005793571472167969,0.0,23
1.0,1,1.0,1.0,1,1.0,1.0,1,1.0,1.0,1,1.0,0.625,0,0.0,0.0004470348358154297,0.0,49
1.0,1,1.0,0.875,0,0.5,0.75,0,0.0,0.875,0,0.5,0.5625,0,0.0,0.00043773651123046875,0.0,78
1.0,1,1.0,1.0,1,1.0,1.0,1,1.0,1.0,1,1.0,0.5625,0,0.0,0.00044417381286621094,0.0,65
0.875,0,0.5,0.875,0,0.5,0.875,0,0.5,0.875,0,0.5,0.6875,0,0.0,0.0004391670227050781,0.0,01
0.9375,0,0.5,0.9375,0,0.5,0.8125,0,0.0,0.9375,0,0.5,0.4375,0,0.0,0.0005183219909667969,0.0,23
1.0,1,1.0,1.0,1,1.0,1.0,1,1.0,1.0,1,1.0,0.625,0,0.0,0.0006070137023925781,0.0,49
0.9375,0,0.5,0.9375,0,0.5,0.8125,0,0.5,0.9375,0,0.5,0.375,0,0.0,0.0004508495330810547,0.0,78
0.9375,0,0.5,0.9375,0,0.5,0.9375,0,0.5,0.9375,0,0.5,0.5625,0,0.0,0.00043702125549316406,0.0,65
1.0,1,1.0,1.0,1,1.0,1.0,1,1.0,1.0,1,1.0,0.5625,0,0.0,0.0004372596740722656,0.0,01
1.0,1,1.0,0.875,0,0.5,0.875,0,0.5,0.875,0,0.5,0.5,0,0.0,0.0004432201385498047,0.0,23
1.0,1,1.0,0.875,0,0.5,0.875,0,0.5,0.875,0,0.5,0.5625,0,0.0,0.00043392181396484375,0.0,49
1.0,1,1.0,1.0,1,1.0,1.0,1,1.0,1.0,1,1.0,0.4375,0,0.0,0.00043845176696777344,0.0,78
